date,quarter,ticker,company_name,close,ma_25,ma_50,rsi,high_52w,low_52w,per,pbr,q_score,q1,q3,v_score,v1,v2,v3,t_score,qvt_score,timing_label,signal_text,roe,roa,equity_ratio,operating_margin,de_ratio,interest_coverage,ev_ebitda,industry,sector
2024-03-07,2024-Q1,2934.T,"J Frontier Co.,Ltd.",3235.0,3486.0,3779.0,45.1,5830.0,2251.0,-217.6,12.29,0.0,5.0,5.0,26.0,0.0,45.0,50.0,72.0,32.7,そこそこ押し目,そこそこ押し目,-5.86,0.12,-,-2.24,2.41,-,14.04,Pharmaceutical Retailers,Healthcare
2024-03-07,2024-Q1,2936.T,BASE FOOD Inc.,440.0,429.0,440.0,64.0,818.0,369.0,40.7,20.67,48.5,75.0,22.0,15.5,0.0,10.0,50.0,65.2,43.1,そこそこ押し目,押し目シグナルなし,48.1,7.02,-,2.54,0.6,-,32.27,Packaged Foods,Consumer Defensive
2024-03-07,2024-Q1,2937.T,"St.Cousair Co., Ltd.",2184.0,2233.0,2377.0,71.3,4567.0,1952.0,40.0,4.09,42.5,55.0,30.0,30.1,9.1,45.0,50.0,53.7,42.1,そこそこ押し目,押し目シグナルなし,10.92,5.26,-,6.55,0.43,-,13.12,Packaged Foods,Consumer Defensive
2024-03-07,2024-Q1,2978.T,TSUKURUBA Inc.,866.0,836.0,825.0,61.7,1392.0,630.0,144.6,5.25,0.0,20.0,5.0,15.5,0.0,10.0,50.0,55.6,23.7,そこそこ押し目,押し目シグナルなし,3.71,2.21,-,-1.05,2.39,-,35.26,Real Estate Services,Real Estate
2024-03-07,2024-Q1,2981.T,Landix Inc.,1119.0,1118.0,1123.0,70.6,2012.0,1046.0,3.1,0.66,55.0,95.0,15.0,87.5,100.0,100.0,50.0,59.6,67.4,そこそこ押し目,押し目シグナルなし,25.28,10.06,-,13.27,1.35,-,4.94,Real Estate - Development,Real Estate
2024-03-07,2024-Q1,2983.T,"Arr Planner Co., Ltd.",308.0,303.0,294.0,72.0,398.0,255.0,1.8,0.47,45.0,85.0,5.0,83.0,100.0,85.0,50.0,42.1,56.7,押し目シグナルなし〜様子見,押し目シグナルなし,36.45,7.32,-,8.49,2.48,-,5.47,Real Estate - Development,Real Estate
2024-03-07,2024-Q1,2986.T,"LA Holdings Co., Ltd.",3981.0,4253.0,4221.0,49.0,4774.0,3085.0,4.6,1.01,50.0,95.0,5.0,72.9,90.9,65.0,50.0,49.4,57.4,押し目シグナルなし〜様子見,押し目シグナルなし,25.52,7.23,-,27.86,2.19,-,11.06,Real Estate Services,Real Estate
2024-03-07,2024-Q1,2997.T,"STORAGE-OH Co.,Ltd.",623.0,562.0,558.0,77.0,703.0,463.0,9.4,0.93,27.5,50.0,5.0,63.6,83.6,45.0,50.0,7.1,32.7,高値圏（要注意）,高値圏（要注意！）,9.92,2.86,-,16.01,2.34,-,15.8,Real Estate Services,Real Estate
2024-03-07,2024-Q1,2998.T,CREAL Inc.,947.0,1123.0,1082.0,37.8,1800.0,516.0,26.1,3.15,46.0,70.0,22.0,50.7,18.2,100.0,50.0,73.9,56.9,そこそこ押し目,バーゲン（強い押し目）,23.94,3.4,-,9.02,0.74,-,4.29,Asset Management,Financial Services
2024-03-07,2024-Q1,3063.T,j-Group Holdings Corp.,627.0,656.0,628.0,41.1,699.0,437.0,-80.3,5.04,12.5,25.0,0.0,20.0,0.0,25.0,50.0,61.4,31.3,そこそこ押し目,押し目シグナルなし,4.5,2.68,-,1.89,3.82,-,17.88,Restaurants,Consumer Cyclical
2024-03-07,2024-Q1,3070.T,"JELLY BEANS GROUP Co., Ltd.",121.0,135.0,128.0,50.0,270.0,111.0,-4.5,1.95,17.5,5.0,30.0,35.7,18.2,50.0,50.0,87.5,46.9,バーゲン（強い押し目）,そこそこ押し目,-9.91,-1.02,-,2.92,0.07,-,-204.71,Apparel Retail,Consumer Cyclical
2024-03-07,2024-Q1,3133.T,"kaihan co.,Ltd.",1258.0,1042.0,934.0,69.4,1406.0,248.0,-15.4,100.7,0.0,0.0,0.0,27.5,0.0,50.0,50.0,28.5,18.7,タイミング悪化（要注意）,押し目シグナルなし,-371.52,-12.94,-,-34.27,3.52,-,-31.48,Restaurants,Consumer Cyclical
2024-03-07,2024-Q1,3137.T,"Fundely Co., Ltd.",151.0,147.0,144.0,62.9,276.0,131.0,-115.3,2.11,10.0,20.0,0.0,31.6,9.1,50.0,50.0,31.8,24.5,押し目シグナルなし〜様子見,押し目シグナルなし,-,-,-,18.57,-,-,-,Publishing,Communication Services
2024-03-07,2024-Q1,3138.T,"Fujisan Magazine Service Co., Ltd.",662.0,653.0,655.0,73.8,769.0,639.0,34.2,0.91,27.5,25.0,30.0,63.0,45.5,100.0,50.0,38.8,43.1,押し目シグナルなし〜様子見,高値圏（要注意！）,3.83,1.75,-,6.53,0.18,-,2.24,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3140.T,"BRUNO,Inc.",999.0,996.0,986.0,61.5,1013.0,903.0,31.2,2.62,37.5,45.0,30.0,34.2,18.2,45.0,50.0,28.1,33.3,高値圏（要注意）,押し目シグナルなし,8.69,3.25,-,7.76,0.17,-,15.54,"Furnishings, Fixtures & Appliances",Consumer Cyclical
2024-03-07,2024-Q1,3185.T,"Dream Vision Co.,Ltd.",174.0,171.0,166.0,63.6,189.0,148.0,-11.2,20.1,0.0,0.0,0.0,27.5,0.0,50.0,50.0,26.5,18.0,高値圏（要注意）,押し目シグナルなし,-97.9,-5.0,-,-9.73,8.35,-,-37.29,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3187.T,miratap inc.,438.0,458.0,458.0,52.5,1165.0,411.0,-17.9,2.73,0.0,0.0,15.0,31.6,9.1,50.0,50.0,77.1,36.2,そこそこ押し目,そこそこ押し目,-13.8,-2.0,-,-2.67,1.08,-,-75.13,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3195.T,"Generation Pass Co.,Ltd.",242.0,236.0,236.0,64.3,343.0,221.0,12.2,0.99,26.0,30.0,22.0,52.7,72.7,25.0,50.0,49.5,42.7,押し目シグナルなし〜様子見,押し目シグナルなし,6.1,1.85,-,0.87,0.82,-,19.55,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3224.T,"General Oyster, Inc.",1824.0,1822.0,1808.0,65.7,2175.0,1076.0,-133.2,5.88,20.0,10.0,30.0,15.5,0.0,10.0,50.0,33.4,23.0,押し目シグナルなし〜様子見,押し目シグナルなし,-4.83,-1.09,-,4.18,0.2,-,75.1,Restaurants,Consumer Cyclical
2024-03-07,2024-Q1,3237.T,"Intrance Co.,Ltd.",151.0,152.0,144.0,56.4,176.0,55.0,-14.8,17.41,0.0,0.0,22.0,27.5,0.0,50.0,50.0,34.4,20.6,押し目シグナルなし〜様子見,押し目シグナルなし,-76.57,-24.72,-,-17.13,0.65,-,-6.58,Real Estate Services,Real Estate
2024-03-07,2024-Q1,3261.T,"GRANDES, Inc.",403.0,388.0,380.0,76.7,417.0,285.0,-529.8,0.61,18.5,15.0,22.0,36.0,45.5,10.0,50.0,13.3,22.6,高値圏（要注意）,高値圏（要注意！）,-0.11,0.17,-,4.66,0.84,-,34.36,Real Estate Services,Real Estate
2024-03-07,2024-Q1,3300.T,"AMBITION DX HOLDINGS Co., Ltd.",816.0,783.0,739.0,68.0,894.0,597.0,3.1,0.72,40.0,80.0,0.0,77.0,100.0,65.0,50.0,34.7,50.6,押し目シグナルなし〜様子見,押し目シグナルなし,26.5,5.84,-,7.03,3.4,-,10.03,Real Estate Services,Real Estate
2024-03-07,2024-Q1,3359.T,"cotta CO.,LTD",481.0,505.0,514.0,46.3,643.0,352.0,11.7,1.12,41.0,60.0,22.0,75.6,83.6,85.0,50.0,54.5,57.0,そこそこ押し目,押し目シグナルなし,10.85,5.03,-,7.83,0.82,-,5.93,Packaging & Containers,Consumer Cyclical
2024-03-07,2024-Q1,3418.T,"Balnibarbi Co.,Ltd.",1218.0,1232.0,1221.0,56.6,1727.0,963.0,29.1,2.18,28.5,35.0,22.0,44.3,27.3,65.0,50.0,62.7,45.2,そこそこ押し目,押し目シグナルなし,7.45,3.09,-,2.12,0.8,-,11.77,Restaurants,Consumer Cyclical
2024-03-07,2024-Q1,3474.T,"G-Factory Co.,Ltd.",330.0,358.0,352.0,52.5,462.0,318.0,-3.7,1.85,13.5,5.0,22.0,28.2,18.2,25.0,50.0,64.9,35.5,そこそこ押し目,押し目シグナルなし,-19.62,-1.08,-,1.11,0.66,-,21.95,Real Estate Services,Real Estate
2024-03-07,2024-Q1,3477.T,"FORLIFE Co., Ltd.",554.0,571.0,565.0,33.9,605.0,546.0,5.3,0.53,35.0,55.0,15.0,83.0,100.0,85.0,50.0,100.0,72.7,バーゲン（強い押し目）,バーゲン（強い押し目）,12.23,5.35,-,6.32,1.21,-,6.82,Residential Construction,Consumer Cyclical
2024-03-07,2024-Q1,3479.T,TKP Corporation,1597.0,1639.0,1687.0,59.8,3220.0,1479.0,21.5,1.49,27.5,45.0,10.0,42.4,36.4,45.0,50.0,71.4,47.1,そこそこ押し目,押し目シグナルなし,7.86,3.78,-,10.68,1.55,-,13.0,Real Estate Services,Real Estate
2024-03-07,2024-Q1,3491.T,"GA technologies Co., Ltd.",1474.0,1441.0,1353.0,68.5,1740.0,997.0,15.1,2.01,12.5,40.0,15.0,58.5,45.5,85.0,50.0,38.2,36.4,押し目シグナルなし〜様子見,押し目シグナルなし,11.1,3.9,-,-0.51,1.29,-,6.35,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3541.T,Nousouken Corporation,280.0,279.0,275.0,60.2,519.0,251.0,528.3,5.79,20.0,10.0,30.0,15.5,0.0,10.0,50.0,59.5,31.7,そこそこ押し目,押し目シグナルなし,-0.79,0.21,-,0.16,0.29,-,263.1,Food Distribution,Consumer Defensive
2024-03-07,2024-Q1,3542.T,"Vega Corporation Co.,Ltd.",1042.0,773.0,636.0,76.9,1049.0,449.0,15.5,4.59,57.5,85.0,30.0,43.9,36.4,50.0,50.0,9.3,36.9,高値圏（要注意）,高値圏（要注意！）,25.39,9.74,-,6.59,0.42,-,-,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3550.T,"STUDIO ATAO Co., Ltd.",212.0,214.0,212.0,43.2,245.0,193.0,31.5,1.16,0.0,0.0,30.0,48.0,45.5,50.0,50.0,69.9,39.3,そこそこ押し目,押し目シグナルなし,-8.41,-4.25,-,-20.68,0.36,-,-10.6,Footwear & Accessories,Consumer Cyclical
2024-03-07,2024-Q1,3556.T,"RenetJapanGroup,Inc.",420.0,424.0,425.0,60.7,777.0,373.0,12.7,5.56,35.0,70.0,0.0,31.9,36.4,10.0,50.0,68.9,45.3,そこそこ押し目,押し目シグナルなし,65.95,3.26,-,3.66,5.65,-,25.52,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3557.T,"United & Collective Co., Ltd.",1096.0,1178.0,1169.0,13.9,1318.0,1051.0,194.0,8.38,0.0,5.0,0.0,20.0,0.0,25.0,50.0,94.9,38.3,バーゲン（強い押し目）,バーゲン（強い押し目）,-16.46,1.08,-,-3.62,4.2,-,21.63,Restaurants,Consumer Cyclical
2024-03-07,2024-Q1,3558.T,"JADE GROUP,Inc",2575.0,2084.0,2022.0,78.5,2715.0,957.0,24.0,3.93,55.0,80.0,30.0,50.7,18.2,100.0,50.0,11.1,38.9,高値圏（要注意）,高値圏（要注意！）,18.0,8.72,-,10.57,0.06,-,4.99,Internet Retail,Consumer Cyclical
2024-03-07,2024-Q1,3566.T,"Uniform Next Co., Ltd.",632.0,596.0,547.0,58.3,810.0,420.0,16.6,1.66,50.0,70.0,30.0,62.5,54.5,85.0,50.0,38.2,50.2,押し目シグナルなし〜様子見,高値圏（要注意！）,14.34,9.15,-,8.62,0.08,-,5.94,Apparel Retail,Consumer Cyclical
2024-03-07,2024-Q1,3622.T,Netyear Group Corporation,501.0,512.0,523.0,56.1,727.0,493.0,22.5,1.74,47.5,65.0,30.0,42.4,36.4,45.0,50.0,65.0,51.6,そこそこ押し目,押し目シグナルなし,10.38,3.69,-,20.17,0.13,-,14.11,Advertising Agencies,Communication Services
2024-03-07,2024-Q1,3623.T,Billing System Corporation,876.0,888.0,891.0,61.3,1279.0,802.0,13.5,1.76,27.5,55.0,0.0,52.0,54.5,50.0,50.0,67.0,48.8,そこそこ押し目,押し目シグナルなし,13.86,1.44,-,17.35,-,-,-30.5,Software - Infrastructure,Technology
2024-03-07,2024-Q1,3624.T,Axel Mark Inc.,296.0,273.0,261.0,61.0,349.0,213.0,-6.0,8.83,0.0,0.0,30.0,27.5,0.0,50.0,50.0,34.0,20.5,押し目シグナルなし〜様子見,高値圏（要注意！）,-,-,-,-47.97,0.03,-,-2.64,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3625.T,Techfirm Holdings Inc.,743.0,482.0,460.0,87.6,939.0,382.0,11.1,1.85,55.0,80.0,30.0,72.0,65.5,100.0,50.0,6.6,44.5,高値圏（要注意）,高値圏（要注意！）,17.83,9.31,-,10.57,0.38,-,3.65,Information Technology Services,Technology
